i,X,Y
0,-0.4609291451439479,0.15990162945415096
1,-0.5376373688419132,0.14734498321011547
2,-0.5359009397650969,0.14613039076238912
3,-0.4498000153848163,0.01044428172296565
4,-0.4561886762847332,-0.0632268360016012
5,-0.46963544070315527,-0.11564299156838634
6,-0.5538355013103299,0.053002529265933136
7,-0.5633317661693714,0.11288182612670886
8,-0.4354982990458267,0.15317135624088055
9,-0.6326038594418292,0.2925241855302372
10,-0.5856628177702885,0.08299719474650964
11,-0.5660424686074124,-0.08545597791518517
12,-0.4633756003870019,-0.13272821546250416
13,-0.4052285870572183,-0.18851191012486174
14,-0.5135394367317087,-0.13154639551161437
15,-0.5752068590252696,-0.03860442940490771
16,-0.5847749292701065,-0.14664056865420166
17,-0.5246170489223673,-0.01905872583484375
18,-0.5275888016074114,0.017400966951697495
19,-0.3581044523472393,-0.259446892499146
20,-0.23316051518961095,-0.22066369513129835
21,-0.17322091354889443,-0.27918644717421304
22,-0.3179453147698715,-0.18253444207203476
23,-0.32216961269372796,-0.3439372552829166
24,-0.3829079711650021,-0.2966922192926421
25,-0.5987288627958829,-0.18650165804671592
26,-0.5635242493623462,-0.10968158510382342
27,-0.5532575997692153,-0.16124695525075522
28,-0.5946332474572802,-0.21023407781576534
29,-0.5665126747843763,-0.165476582915052
30,-0.5111648026867874,-0.1514605440571202
31,-0.4072518836031023,-0.17112067150790244
32,-0.40678266910299044,-0.043612979306578516
33,-0.422535673506188,0.09510356281424544
34,-0.577380312930921,0.1977470740108641
35,-0.4981740024848445,0.14329326512594812
36,-0.5434806491975611,0.11448063195530325
37,-0.5068559367246821,0.2168186517225662
38,-0.32277348056007993,-0.010200905069849166
39,-0.33616250469878184,0.14666958248855647
40,-0.3780916863117428,0.2696775159476055
41,-0.43371833701406126,-0.20341309879707709
42,-0.4422980096636777,-0.26960735044052986
43,-0.42277813954950266,-0.19405912609782575
44,-0.5804180298955279,-0.1192096693131615
45,-0.5591963606244827,-0.06460459462618014
46,-0.5465263237808439,0.06049058879988036
47,-0.4679938087434508,0.013186836259937836
48,-0.5233458054884628,0.020118100163038156
49,-0.5363849752452559,0.17404814506696456
50,-0.5108193988663573,0.13926864900333638
51,-0.4542369073147839,-0.11880832925100698
52,-0.4315379537826108,-0.10169839807651436
53,-0.34678170041648637,-0.050114517698517706
54,-0.4820839441014412,-0.007424370913314198
55,-0.5482927007409063,-0.07926768565521848
56,-0.6054079418365028,-0.02997956466564205
57,-0.5269555045207038,0.1331246955805559
58,-0.408632859330506,0.01641676454121067
59,-0.510862483600621,0.2845266174019675
60,-0.5158640256259879,0.2212704202018091
61,-0.5041949121983459,0.28112932759192505
62,-0.4046180043962342,0.35630821666390866
