cluster,median_phi61,sd_phi61,median_psi61,sd_psi61,median_omega61,sd_omega61,prop
1,74.77,11.01,93.01,10.83,48.07,8.33,0.7417
2,70.24,6.31,-173.64,6.72,55.56,6.52,0.067
3,62.96,5.78,57.69,5.68,41.91,5.46,0.0442
4,67.95,11.17,-176.48,13.13,-173.93,15.68,0.0648
5,69.12,9.46,-177.44,13.42,-76.36,12.97,0.0214
6,68.81,10.58,61.68,11.54,167.76,8.28,0.0609
